model,train_size,test_auc,test_lo,test_hi,train_auc
LogReg,10,0.9845076400679116,0.9775933261838333,0.9914219539519898,1.0
LogReg,20,0.9817699490662142,0.9750843890585462,0.9884555090738821,1.0
LogReg,40,0.985144312393888,0.9784204240274313,0.9918682007603447,1.0
LogReg,50,0.9823853989813243,0.9759978844856695,0.988772913476979,1.0
LogReg,75,0.9837436332767402,0.977148061848921,0.9903392047045594,1.0
LogReg,100,0.986332767402377,0.9799530860107774,0.9927124487939766,1.0
LogReg,150,0.9977504244482175,0.9946270717544508,1.0008737771419842,1.0
LogReg,200,0.9986417657045841,0.9963706129468101,1.000912918462358,1.0
LogReg,300,1.0,1.0,1.0,1.0
RF,10,0.5,0.5,0.5,0.5
RF,20,0.9951188455008488,0.9931914678809102,0.9970462231207875,1.0
RF,40,0.9960738539898133,0.9951237262050179,0.9970239817746087,0.9998666666666667
RF,50,0.9968803056027162,0.9962459847896747,0.9975146264157577,1.0
RF,75,0.9970925297113753,0.9965525030918713,0.9976325563308793,0.9996580547112461
RF,100,0.9977716468590832,0.997516077215346,0.9980272165028203,0.9995280995280995
RF,150,0.9986205432937183,0.9982884264636203,0.9989526601238163,0.9994870820668693
RF,200,0.9990662139219015,0.9987252288030343,0.9994071990407688,0.9996213333333335
RF,300,0.9997665534804755,0.9996740083889981,0.9998590985719529,0.9997981572948328
HGB,10,0.5,0.5,0.5,0.5
HGB,20,0.5,0.5,0.5,0.5
HGB,40,0.7946095076400679,0.7202026192688735,0.8690163960112622,0.8286000000000001
HGB,50,0.9906090831918506,0.9865105782873114,0.9947075880963898,1.0
HGB,75,0.9950870118845503,0.9919219917594093,0.9982520320096913,1.0
HGB,100,0.9991935483870968,0.9985968244290792,0.9997902723451145,1.0
HGB,150,0.9999787775891342,0.9999382348961889,1.0000193202820795,1.0
HGB,200,0.9999787775891342,0.9999382348961889,1.0000193202820795,1.0
HGB,300,1.0,1.0,1.0,1.0
MLP,10,nan,nan,nan,nan
MLP,20,0.8238539898132429,0.7374583617775272,0.9102496178489585,0.8494505494505494
MLP,40,0.9644524617996604,0.9286005925843233,1.0003043310149975,0.9773333333333334
MLP,50,0.9761247877758914,0.964698867118081,0.9875507084337019,0.9961799660441427
MLP,75,0.9872877758913411,0.9829756304171985,0.9915999213654837,0.9975303951367783
MLP,100,0.9894100169779285,0.9852514748779644,0.9935685590778927,0.9979407979407979
MLP,150,0.9929329371816639,0.9906513902517212,0.9952144841116065,0.997767857142857
MLP,200,0.992402376910017,0.9905713055688716,0.9942334482511623,0.9978293333333333
MLP,300,0.9943336162988116,0.9926747000822248,0.9959925325153983,0.9986844604863222
Ensemble,10,nan,nan,nan,nan
Ensemble,20,0.9941850594227504,0.9913412241595214,0.9970288946859793,1.0
Ensemble,40,0.9877758913412565,0.9816437433435354,0.9939080393389776,0.9992000000000001
Ensemble,50,0.9983870967741936,0.9977278308828171,0.99904636266557,1.0
Ensemble,75,0.9985568760611206,0.9977822531572127,0.9993314989650286,1.0
Ensemble,100,0.9996392190152801,0.9994248889716905,0.9998535490588697,1.0
Ensemble,150,1.0,1.0,1.0,1.0
Ensemble,200,1.0,1.0,1.0,1.0
Ensemble,300,1.0,1.0,1.0,1.0
