model,train_size,test_auc,test_lo,test_hi,train_auc
LogReg,20,0.7859764089121889,0.7230099419506435,0.8489428758737343,0.9902777777777778
LogReg,30,0.7911205766710354,0.7313985768832834,0.8508425764587875,0.9907407407407407
LogReg,40,0.8124180865006551,0.7519802486790376,0.8728559243222725,0.9745714285714285
LogReg,50,0.8184796854521625,0.774579470728426,0.862379900175899,0.9575757575757574
LogReg,75,0.8416120576671033,0.8156558038828496,0.867568311451357,0.9395622895622895
LogReg,100,0.848951507208388,0.8240841949913241,0.8738188194254518,0.9274770173646576
LogReg,125,0.8616317169069463,0.843116184876972,0.8801472489369205,0.9190154440154441
LogReg,150,0.8636959370904325,0.8502722288433633,0.8771196453375016,0.916828836797877
LogReg,200,0.8659895150720839,0.8524667815767774,0.8795122485673904,0.9113485630066321
LogReg,368,0.8768020969855831,0.8768020969855831,0.8768020969855831,0.9033011977797255
RF,20,0.8149574049803409,0.7573582748854668,0.8725565350752149,0.9972222222222221
RF,30,0.843872870249017,0.7907291356886763,0.8970166048093577,0.987037037037037
RF,40,0.8543250327653998,0.8051297649110523,0.9035203006197474,0.9842857142857142
RF,50,0.8607798165137615,0.836270164345552,0.8852894686819709,0.9820075757575756
RF,75,0.8750655307994757,0.8583509341315158,0.8917801274674356,0.9803030303030302
RF,100,0.8834534731323723,0.8677329611733258,0.8991739850914189,0.9834014300306435
RF,125,0.8874836173001311,0.8738637593618707,0.9011034752383916,0.9811454311454311
RF,150,0.8933813892529487,0.8824032686767186,0.9043595098291789,0.9821318000884564
RF,200,0.8934469200524247,0.882424820606053,0.9044690194987963,0.9834315892901007
RF,368,0.9012778505897773,0.8983968398218005,0.904158861357754,0.9843375693835815
HGB,20,0.5,0.5,0.5,0.5
HGB,30,0.5,0.5,0.5,0.5
HGB,40,0.7366480996068152,0.6839907235417176,0.7893054756719128,0.8917142857142858
HGB,50,0.7675950196592398,0.7123984518914672,0.8227915874270124,0.9926136363636363
HGB,75,0.8354685452162516,0.803037884284104,0.8678992061483991,1.0
HGB,100,0.8448230668414153,0.8212324225067166,0.868413711176114,1.0
HGB,125,0.8687090432503277,0.8470609775922028,0.8903571089084527,1.0
HGB,150,0.8586500655307994,0.8380721108747413,0.8792280201868574,1.0
HGB,200,0.8639908256880734,0.8432113584289228,0.884770292947224,1.0
HGB,368,0.9102228047182173,0.9102228047182171,0.9102228047182174,1.0
MLP,20,0.7380078636959371,0.6784102462628266,0.7976054811290475,0.9291666666666666
MLP,30,0.7674639580602883,0.7025503265195914,0.8323775896009853,0.967283950617284
MLP,40,0.798394495412844,0.734082396740143,0.8627065940855451,0.939142857142857
MLP,50,0.812778505897772,0.7673414575801469,0.8582155542153971,0.9651515151515151
MLP,75,0.8776212319790302,0.8553619429294178,0.8998805210286426,0.9714646464646464
MLP,100,0.8951834862385321,0.8754787758290337,0.9148881966480304,0.9610827374872318
MLP,125,0.8993446920052424,0.886104614403083,0.9125847696074018,0.948037323037323
MLP,150,0.9025884665792923,0.8921731980986539,0.9130037350599306,0.9451791242812917
MLP,200,0.8967562254259501,0.8829020771193634,0.9106103737325368,0.9357283222795381
MLP,368,0.8970838794233289,0.8903078283405019,0.9038599305061559,0.9403702892199826
Ensemble,20,0.7862057667103539,0.7376673826359103,0.8347441507847976,0.9736111111111111
Ensemble,30,0.8337483617300132,0.7849860732509815,0.882510650209045,0.9814814814814816
Ensemble,40,0.8139252948885976,0.7628643544291559,0.8649862353480392,0.9628571428571429
Ensemble,50,0.8181847968545217,0.7821665504077847,0.8542030433012587,0.9962121212121211
Ensemble,75,0.8522608125819137,0.8265736262440185,0.8779479989198088,1.0
Ensemble,100,0.8674967234600262,0.8494888068625926,0.8855046400574597,1.0
Ensemble,125,0.8842070773263433,0.8682014027792039,0.9002127518734827,1.0
Ensemble,150,0.8788335517693318,0.8631031720946373,0.8945639314440262,1.0
Ensemble,200,0.8801441677588466,0.8678387024667821,0.8924496330509112,1.0
Ensemble,368,0.9041612057667103,0.9018638190209106,0.90645859251251,1.0
