model,fpr,tpr,auc
LogReg,0.0,0.0,0.8768020969855832
LogReg,0.0,0.07142857142857142,0.8768020969855832
LogReg,0.0,0.35714285714285715,0.8768020969855832
LogReg,0.009174311926605505,0.35714285714285715,0.8768020969855832
LogReg,0.009174311926605505,0.42857142857142855,0.8768020969855832
LogReg,0.01834862385321101,0.42857142857142855,0.8768020969855832
LogReg,0.01834862385321101,0.5714285714285714,0.8768020969855832
LogReg,0.06422018348623854,0.5714285714285714,0.8768020969855832
LogReg,0.06422018348623854,0.7142857142857143,0.8768020969855832
LogReg,0.07339449541284404,0.7142857142857143,0.8768020969855832
LogReg,0.07339449541284404,0.7857142857142857,0.8768020969855832
LogReg,0.3119266055045872,0.7857142857142857,0.8768020969855832
LogReg,0.3119266055045872,0.8571428571428571,0.8768020969855832
LogReg,0.48623853211009177,0.8571428571428571,0.8768020969855832
LogReg,0.48623853211009177,0.9285714285714286,0.8768020969855832
LogReg,0.6788990825688074,0.9285714285714286,0.8768020969855832
LogReg,0.6788990825688074,1.0,0.8768020969855832
LogReg,1.0,1.0,0.8768020969855832
RF,0.0,0.0,0.908256880733945
RF,0.0,0.07142857142857142,0.908256880733945
RF,0.0,0.42857142857142855,0.908256880733945
RF,0.01834862385321101,0.42857142857142855,0.908256880733945
RF,0.01834862385321101,0.5714285714285714,0.908256880733945
RF,0.027522935779816515,0.5714285714285714,0.908256880733945
RF,0.027522935779816515,0.7142857142857143,0.908256880733945
RF,0.03669724770642202,0.7142857142857143,0.908256880733945
RF,0.03669724770642202,0.7857142857142857,0.908256880733945
RF,0.2018348623853211,0.7857142857142857,0.908256880733945
RF,0.2018348623853211,0.8571428571428571,0.908256880733945
RF,0.3119266055045872,0.8571428571428571,0.908256880733945
RF,0.3119266055045872,0.9285714285714286,0.908256880733945
RF,0.6422018348623854,0.9285714285714286,0.908256880733945
RF,0.6422018348623854,1.0,0.908256880733945
RF,0.9541284403669725,1.0,0.908256880733945
RF,0.981651376146789,1.0,0.908256880733945
RF,1.0,1.0,0.908256880733945
HGB,0.0,0.0,0.9102228047182175
HGB,0.0,0.07142857142857142,0.9102228047182175
HGB,0.0,0.2857142857142857,0.9102228047182175
HGB,0.01834862385321101,0.2857142857142857,0.9102228047182175
HGB,0.01834862385321101,0.6428571428571429,0.9102228047182175
HGB,0.06422018348623854,0.6428571428571429,0.9102228047182175
HGB,0.06422018348623854,0.7142857142857143,0.9102228047182175
HGB,0.07339449541284404,0.7142857142857143,0.9102228047182175
HGB,0.07339449541284404,0.7857142857142857,0.9102228047182175
HGB,0.1651376146788991,0.7857142857142857,0.9102228047182175
HGB,0.1651376146788991,0.8571428571428571,0.9102228047182175
HGB,0.27522935779816515,0.8571428571428571,0.9102228047182175
HGB,0.27522935779816515,0.9285714285714286,0.9102228047182175
HGB,0.5871559633027523,0.9285714285714286,0.9102228047182175
HGB,0.5871559633027523,1.0,0.9102228047182175
HGB,1.0,1.0,0.9102228047182175
MLP,0.0,0.0,0.9082568807339448
MLP,0.0,0.07142857142857142,0.9082568807339448
MLP,0.0,0.14285714285714285,0.9082568807339448
MLP,0.009174311926605505,0.14285714285714285,0.9082568807339448
MLP,0.009174311926605505,0.42857142857142855,0.9082568807339448
MLP,0.01834862385321101,0.42857142857142855,0.9082568807339448
MLP,0.01834862385321101,0.5714285714285714,0.9082568807339448
MLP,0.027522935779816515,0.5714285714285714,0.9082568807339448
MLP,0.027522935779816515,0.6428571428571429,0.9082568807339448
MLP,0.03669724770642202,0.6428571428571429,0.9082568807339448
MLP,0.03669724770642202,0.7142857142857143,0.9082568807339448
MLP,0.08256880733944955,0.7142857142857143,0.9082568807339448
MLP,0.08256880733944955,0.7857142857142857,0.9082568807339448
MLP,0.09174311926605505,0.7857142857142857,0.9082568807339448
MLP,0.09174311926605505,0.8571428571428571,0.9082568807339448
MLP,0.44954128440366975,0.8571428571428571,0.9082568807339448
MLP,0.44954128440366975,0.9285714285714286,0.9082568807339448
MLP,0.5229357798165137,0.9285714285714286,0.9082568807339448
MLP,0.5229357798165137,1.0,0.9082568807339448
MLP,1.0,1.0,0.9082568807339448
Ensemble,0.0,0.0,0.9049803407601573
Ensemble,0.0,0.07142857142857142,0.9049803407601573
Ensemble,0.0,0.5,0.9049803407601573
Ensemble,0.045871559633027525,0.5,0.9049803407601573
Ensemble,0.045871559633027525,0.6428571428571429,0.9049803407601573
Ensemble,0.05504587155963303,0.6428571428571429,0.9049803407601573
Ensemble,0.05504587155963303,0.7857142857142857,0.9049803407601573
Ensemble,0.10091743119266056,0.7857142857142857,0.9049803407601573
Ensemble,0.10091743119266056,0.8571428571428571,0.9049803407601573
Ensemble,0.3119266055045872,0.8571428571428571,0.9049803407601573
Ensemble,0.3119266055045872,0.9285714285714286,0.9049803407601573
Ensemble,0.7155963302752294,0.9285714285714286,0.9049803407601573
Ensemble,0.7155963302752294,1.0,0.9049803407601573
Ensemble,1.0,1.0,0.9049803407601573
