model,fpr,tpr,auc
LogReg,0.0,0.0,1.0
LogReg,0.0,0.016129032258064516,1.0
LogReg,0.0,1.0,1.0
LogReg,1.0,1.0,1.0
RF,0.0,0.0,0.9995755517826825
RF,0.0,0.12903225806451613,0.9995755517826825
RF,0.0,0.1774193548387097,0.9995755517826825
RF,0.0,0.20967741935483872,0.9995755517826825
RF,0.0,0.24193548387096775,0.9995755517826825
RF,0.0,0.2903225806451613,0.9995755517826825
RF,0.0,0.9838709677419355,0.9995755517826825
RF,0.02631578947368421,0.9838709677419355,0.9995755517826825
RF,0.02631578947368421,1.0,0.9995755517826825
RF,1.0,1.0,0.9995755517826825
HGB,0.0,0.0,1.0
HGB,0.0,0.016129032258064516,1.0
HGB,0.0,1.0,1.0
HGB,1.0,1.0,1.0
MLP,0.0,0.0,0.99830220713073
MLP,0.0,0.016129032258064516,0.99830220713073
MLP,0.0,0.9354838709677419,0.99830220713073
MLP,0.02631578947368421,0.9354838709677419,0.99830220713073
MLP,0.02631578947368421,1.0,0.99830220713073
MLP,1.0,1.0,0.99830220713073
Ensemble,0.0,0.0,1.0
Ensemble,0.0,0.016129032258064516,1.0
Ensemble,0.0,1.0,1.0
Ensemble,1.0,1.0,1.0
